id,source,area,number,text,option1,option2,option3,option4,correct,rationale
e1-q1,exam1,area3,1,Which of the following types of soil have the best bearing capacity?,Clay,Sandy,Gravel,Silty,3,"Gravel has the highest bearing capacity, followed by sandy soil, clay, and lastly silty soil[cite: 2]."
e1-q2,exam1,area2,2,What is the purpose of the Environmental Protection Agency's National Priorities List (NPL)?,Identifies hazardous sites that need to be cleaned up through the Superfund program,Identifies endangered species that need to be protected by the federal Endangered Species Act,"Identifies pesticides that need to be registered under the Federal Insecticide, Fungicide and Rodenticide Act (FIFRA)",Identifies business operations that emit large quantities of greenhouse gas that is regulated by the Climate Action Plan,1,The National Priorities List (NPL) identifies priority hazardous waste sites for cleanup under the Federal Superfund program[cite: 2].
e1-q3,exam1,area2,3,Which of the following is NOT one of six principal pollutants identified by EPA in its National Air Quality Standards?,Carbon Dioxide,Nitrogen Dioxide,Sulfur Dioxide,Lead,1,"The 6 criteria pollutants under NAAQS are Carbon Monoxide, Lead, Nitrogen Dioxide, Ozone, Particle Pollution (PM), and Sulfur Dioxide[cite: 2]. Carbon Dioxide is not one of the six[cite: 2]."
e1-q4,exam1,area1,4,"What effects do user characteristics have on architectural programming?
A. Favoring some adjacencies over others
B. Altering circulation patterns
C. Affecting the size of program spaces
D. Creating a need for additional program spaces based on needs of culture, age, disability, etc.","A, B and C","A, C and D","B, C and D",All of the above,4,"User characteristics such as age, accessibility needs, and group dynamics affect all spatial adjacencies, sizing, and circulation requirements[cite: 2]."
e1-q5,exam1,area3,5,Identify the version of the LEED rating system launched in November 2013:,LEED 2009,LEED 2013,LEED v3,LEED v4,4,LEED v4 was introduced in November 2013 at Greenbuild[cite: 2].
e1-q6,exam1,area1,6,Which of the following is an effective method you would use to solicit stakeholder input?,Schedule a scoping meeting with the agency having jurisdiction,Hold design charrettes and invite stakeholders to participate,Organize social gathering and invite stakeholders to participate,Publish article in local newspapers describing positive aspects of your project,2,Design charrettes are active collaborative workshops specifically designed to elicit community and stakeholder input[cite: 2].
e1-q7,exam1,area1,7,Other than using a 'Bubble Diagram' what is another tool for analyzing spatial relationships?,Adjacency Matrix,Relationship Map,Adjacency Chart,Relationship Diagram,1,An Adjacency Matrix is the standard architectural tool used alongside bubble diagrams to evaluate relationships[cite: 2].
e1-q8,exam1,area1,8,Which of the following is a factor that should typically be considered when estimating the initial project cost of a project during programming phase?,Cost of finish materials,Cost of utilities and infrastructure,Labor cost relative to the geographic location of the project,Escalation,4,"Escalation accounts for inflation across the multi-year duration of design and construction, making it critical even at the programming stage[cite: 2]."
e1-q9,exam1,area2,9,Which of the following are projects exempt from the provisions of the California Environmental Quality Act (CEQA)?,"In an urbanized area, a construction project with a scope of four single-family units",A garage,A repair to a public service building required for maintaining service,A maintenance project of 2 miles within a public street,2,"Per CEQA categorical exemptions (Class 3), accessory structures like garages are exempt[cite: 2]. Note: urban single-family exemptions cover up to 3 units, maintenance in streets covers up to 1 mile, and only emergency repairs are exempt[cite: 2]."
e1-q10,exam1,area3,10,Which of the following is the correct qualification of inspectors for Essential Services Buildings?,Meet the qualification for inspectors as specified by the California Division of State Architect,Meet the qualification for inspectors in the California Building Code,Certified by the International Conference of Building Officials,Certified by the State of California,3,Inspectors must be certified by ICBO / ICC according to the Essential Services Buildings Seismic Safety Act[cite: 2].
e1-q11,exam1,area3,11,"Besides the structural system what other components of an essential services building are regulated by the Essential Services Building Seismic Safety Act?
A. Communication System
B. Main Transformer
C. Switch Gear
D. Intercom system
E. Emergency backup system","A, B and C","A, B, C and E","B, C, D and E",All of the above,2,"The Act protects vital operational systems (communication with field emergency units, power transformers, switch gear, emergency backup)[cite: 2]. An internal intercom (D) is not regulated under the Act[cite: 2]."
e1-q12,exam1,area3,12,"Other than the California Green Building Standards Code, what other code or regulation also have provisions concerning sustainability?",California Water Code,California Historical Building Code,California Clean Air Act,Field Act,2,The California Historical Building Code (CHBC) expressly includes sustainability principles in its intent section to facilitate reuse and conservation[cite: 2].
e1-q13,exam1,area3,13,"Per the structural provisions of the California Building Code, which of the following is a load bearing wall?",A wood stud wall that supports more than 50 lbs per lineal foot,A metal stud wall that supports more than 80 lbs per lineal foot,A CMU wall that supports more than 100 lbs per lineal foot,A reinforced concrete wall that supports more than 200 lbs per lineal foot,4,A load-bearing wall supports more than 200 lbs per lineal foot of superimposed vertical load[cite: 2].
