id,source,number,text,option1,option2,option3,option4,correct,rationale
core-q1,core,1,"Under California Business and Professions Code § 5536.22 (Architects Practice Act), which of the following is NOT an explicit statutory requirement for an architect's written agreement for professional services?",Description of services to be provided,Method of payment and compensation terms,Provision for professional liability insurance limits,Procedure that the architect and client will use to accommodate additional services,3,"B&P Code § 5536.22 requires scope of work, compensation method, client/architect info, and additional services procedures. It does NOT legally require professional liability insurance to be provided or stated."
core-q2,core,2,"Under the California Environmental Quality Act (CEQA), if an Initial Study shows that a proposed project may have significant environmental impacts, but the applicant agrees to design revisions that eliminate or reduce them below significant levels, what document should the lead agency prepare?",Notice of Exemption (NOE),Mitigated Negative Declaration (MND),Full Environmental Impact Report (EIR),Statement of Overriding Considerations,2,"When revisions made in the project plans before public review mitigate significant effects to a point where clearly no significant effects occur, a Mitigated Negative Declaration (MND) is issued per CEQA Guidelines § 15070."
core-q3,core,3,"Under the California Coastal Act, an architect is designing a project within the Coastal Zone where a Local Coastal Program (LCP) has been fully certified by the California Coastal Commission. Who is the primary permit-issuing authority for the Coastal Development Permit (CDP)?",The California Coastal Commission,The local city or county government with jurisdiction,The California Department of Fish and Wildlife,The Regional Water Quality Control Board,2,"Once an LCP has been fully certified by the Coastal Commission, the authority to issue Coastal Development Permits delegates to the local government (PRC § 30519), subject to appeals on specific coastal segments."
core-q4,core,4,"Under 2022/2025 CBC Chapter 11B Section 11B-202.4 (Path of Travel Requirements), when an alteration to an existing building has an adjusted construction cost exceeding the annual valuation threshold, how much must the applicant spend on path of travel improvements if not fully compliant?",10% of the total adjusted construction cost,20% of the total adjusted construction cost,Up to the full valuation threshold amount,"Path of travel improvements are exempt if under $500,000",2,"If the construction cost exceeds the valuation threshold, an unreasonable hardship exemption is not available, but if an alteration is compliant up to 20% of the adjusted construction cost, additional path of travel upgrades are not required beyond that 20% cap."
core-q5,core,5,"According to CALGreen (Title 24 Part 11) mandatory provisions for non-residential new construction, what minimum percentage of nonhazardous construction and demolition (C&D) debris must be diverted from landfills?",50%,65%,75%,100%,2,CALGreen Section 5.408.1 mandates recycling and/or salvaging for reuse a minimum of 65% of nonhazardous construction and demolition waste.
core-q6,core,6,Which California state agency has exclusive plan review and construction inspection authority over structural safety and accessibility for public K-12 schools and community colleges under the Field Act?,Department of Housing and Community Development (HCD),Department of Health Care Access and Information (HCAI),Division of the State Architect (DSA),California Architects Board (CAB),3,The Division of the State Architect (DSA) enforces the Field Act for structural safety and Title 24 accessibility for California K-12 public schools and community colleges.
core-q7,core,7,"Under California Civil Code, within how many days after an owner records a valid 'Notice of Completion' must a prime contractor file a Mechanic's Lien?",30 days,60 days,90 days,120 days,2,"Per California Civil Code § 8412, when a valid Notice of Completion or Notice of Cessation is recorded, the direct (prime) contractor has 60 days to record a mechanic's lien (subcontractors have 30 days per § 8414). Without a notice, all parties have 90 days."
core-q8,core,8,"Under the California Architects Practice Act, which of the following is an architect permitted to seal/stamp?",Plans prepared by a licensed general contractor for design-build,Drawings prepared under the architect's immediate and responsible control,Drawings prepared by an unlicensed draftsperson without architect supervision,Documents prepared by an out-of-state architect who is not licensed in California,2,B&P Code § 5536.1 and Title 16 CCR § 151 require that architects only sign and stamp plans prepared under their direct 'responsible control'.
e1-q1,exam1,1,Which of the following types of soil have the best bearing capacity?,Clay,Sandy,Gravel,Silty,3,"Gravel has the highest bearing capacity, followed by sandy soil, clay, and lastly silty soil."
e1-q2,exam1,2,What is the purpose of the Environmental Protection Agency's National Priorities List (NPL)?,Identifies hazardous sites that need to be cleaned up through the Superfund program,Identifies endangered species that need to be protected by the federal Endangered Species Act,"Identifies pesticides that need to be registered under the Federal Insecticide, Fungicide and Rodenticide Act (FIFRA)",Identifies business operations that emit large quantities of greenhouse gas that is regulated by the Climate Action Plan,1,The National Priorities List (NPL) identifies priority hazardous waste sites for cleanup under the Federal Superfund program.
